10,2016-04-07,Unofficial Snapchat button,A button embed to promote your Snapchat account.,2016-04-07T03:17:05.705-07:00
10,2016-04-07,Roy,The *polite* companion bot who knows your business,2016-04-07T08:50:49.648-07:00
12,2016-04-05,Kik Bot Shop ,A bot store and platform by Kik,2016-04-05T09:43:01.930-07:00
13,2016-04-04,Brisby,Slack bot that answers the questions you get asked too often,2016-04-04T04:36:19.252-07:00
14,2016-04-03,DeepLearnTheBern,Twitter bot trained to speak like Bernie Sanders,2016-04-03T00:01:00.000-07:00
15,2016-04-02,DeepDrumpf,Twitter bot trained to speak like Donald Trump ,2016-04-02T00:01:00.000-07:00
16,2016-04-01,Speaklyn,Website visitors chat with you on Facebook Messenger,2016-04-01T00:01:19.442-07:00
16,2016-04-01,Appsmonk,Get in-app chat for your mobile app in 10 minutes.,2016-04-01T01:12:15.793-07:00
17,2016-03-31,Abot,Build your own digital assistant,2016-03-31T00:15:15.281-07:00
18,2016-03-30,Microsoft Bot Framework,Your bots — wherever your users are talking,2016-03-30T14:27:35.300-07:00
19,2016-03-29,Snapchat Chat 2.0,"All-new Chat with stickers, audio, video notes and more",2016-03-29T09:22:35.687-07:00
20,2016-03-28,Kuvée,A smart Wi-Fi connected wine bottle with a touchscreen,2016-03-28T08:36:53.000-07:00
21,2016-03-27,Robomow,Battery operated robotic lawn mower,2016-03-27T00:51:00.000-07:00
21,2016-03-27,Bae,"Where people of color, meet, chat and date",2016-03-27T03:17:06.155-07:00
21,2016-03-27,Tio,Robotic building blocks for ages 5 and up,2016-03-27T00:03:00.000-07:00
23,2016-03-25,Rapchat 3.0,"Create, share, and discover freestyle raps",2016-03-25T07:00:00.000-07:00
25,2016-03-23,Chatfuel,Create chatbots to engage with your audience on messengers,2016-03-23T00:53:45.457-07:00
25,2016-03-23,Tay,Microsoft AI chat bot for 18-24 year olds,2016-03-23T07:06:46.000-07:00
27,2016-03-21,Revealytics,Stripe analytics bot for Slack,2016-03-21T14:11:54.790-07:00
29,2016-03-19,Api.ai for Slack,Build a smart conversational Slack bot in 5 minutes. ,2016-03-19T00:01:00.000-07:00
29,2016-03-19,Rave,Discover and chat with nearby Instagrammers,2016-03-19T00:01:00.000-07:00
30,2016-03-18,Braava Jet,Roomba’s first robotic mopping machine,2016-03-18T02:05:06.543-07:00
30,2016-03-18,Domino’s Robotic Unit,Self-driving pizza delivery robot 🍕,2016-03-18T09:52:36.000-07:00
31,2016-03-17,ChatPirate,Offer help and capture leads with a truly simple live chat.,2016-03-17T06:09:00.024-07:00
32,2016-03-16,Steamm Bottled Espresso,"First-ever bottled espresso, get your caffeine on. ",2016-03-16T00:02:00.000-07:00
32,2016-03-16,Snapgeist,Discover amazing people on snapchat,2016-03-16T03:43:48.177-07:00
33,2016-03-15,Urban Slack,The Urban Dictionary Slack bot,2016-03-15T00:52:00.000-07:00
33,2016-03-15,Kip,AI chat-bot that shops for you and your team,2016-03-15T01:12:20.512-07:00
33,2016-03-15,OMGText,An ASCII art bot for your Slack team,2016-03-15T00:01:00.000-07:00
34,2016-03-14,SnapHunt,Product Hunt for Snapchat. Discover new people to follow.,2016-03-14T00:05:00.000-07:00
37,2016-03-11,Spotbot,Slack bot for cross-browser testing & fixes,2016-03-11T00:26:37.153-08:00
38,2016-03-10,botwick,Build your own SMS-based text bot,2016-03-10T03:23:31.723-08:00
38,2016-03-10,Wire 2.0,"Crystal clear voice, video and group chats, encrypted",2016-03-10T06:15:04.100-08:00
39,2016-03-09,Front API,"Browse all emails, SMSs, chat, tweets to & from your company",2016-03-09T05:43:57.095-08:00
39,2016-03-09,Kamibot,A robot that teaches your kids to code,2016-03-09T00:52:50.167-08:00
39,2016-03-09,Standup Jack,A Slack bot for your standups,2016-03-09T00:04:00.000-08:00
39,2016-03-09,Snap2print,A Snapchat printer that receives Snaps and prints stickers,2016-03-09T00:53:16.505-08:00
41,2016-03-07,Bazaar Chat,Real life shopping experience with chat,2016-03-07T07:01:53.749-08:00
46,2016-03-02,Dexter App Marketplace,Apps from SMS bots to podcast generators,2016-03-02T00:00:01.000-08:00
46,2016-03-02,Bouncelytics,Finding website bottlenecks just got easier,2016-03-02T07:00:17.630-08:00
46,2016-03-02,The Modern Day Briefcase,Is it a backpack or a satchel?  It's both!,2016-03-02T19:44:50.772-08:00
47,2016-03-01,Franz,"Messenger for WhatsApp, Telegram, Facebook, Slack & Hipchat",2016-03-01T02:01:55.534-08:00
47,2016-03-01,Konsus Slackbot ,On-demand freelancers via Slack,2016-03-01T11:41:16.426-08:00
47,2016-03-01,Booyah for Android,Super fast group video chat for WhatsApp,2016-03-01T01:26:41.871-08:00
48,2016-02-29,Snapchat Live,"Snapchat stories, now on the web 👻 💻",2016-02-29T07:08:16.519-08:00
52,2016-02-25,Snapvice,Snapchat tips & tricks delivered once a week,2016-02-25T00:04:43.191-08:00
52,2016-02-25,Hotline,"In-app chat,real-time engagement & self-service for your app",2016-02-25T06:38:12.152-08:00
52,2016-02-25,Vinobot,A tipsy bot that generates ridiculous wine tasting notes,2016-02-25T00:09:00.000-08:00
53,2016-02-24,Slack News Feed,Get the top posts from every Slack chat you're in.,2016-02-24T00:01:00.000-08:00
54,2016-02-23,Forbes newsbot on Telegram,News stories pushed to you via Telegram messenger,2016-02-23T06:09:40.519-08:00
54,2016-02-23,Bookbot,Discovery tool from /r/fantasy community recommendations,2016-02-23T09:10:59.904-08:00
55,2016-02-22,SmoochBot,Open source on-boarding bot for conversational apps,2016-02-22T10:02:29.055-08:00
55,2016-02-22,Conversity,Add live chat to your mobile app in a few minutes.,2016-02-22T03:01:23.651-08:00
55,2016-02-22,switchboard.chat,Centralized SMS communication for teams,2016-02-22T06:41:37.570-08:00
57,2016-02-20,khaledchat,Messenger bot that delivers the keys to success 🙌,2016-02-20T00:32:00.000-08:00
59,2016-02-18,Mention for Slack,Real-time monitoring + real-time chat,2016-02-18T03:29:53.197-08:00
60,2016-02-17,Wavecell,"Integrate SMS, voice, chat & video calling into your apps.",2016-02-17T02:13:02.814-08:00
61,2016-02-16,Referrer Spam Remover,Remove spam bots from your Google Analytics data,2016-02-16T05:48:05.926-08:00
61,2016-02-16,LawTrades Slackbot,Your team's new legal assistant,2016-02-16T08:06:45.872-08:00
61,2016-02-16,Screenbot for Slack,"Share screenshots, screencasts, GIFs & more with a keystroke",2016-02-16T07:27:23.166-08:00
61,2016-02-16,Quicklegal,Get on-demand legal services via video chat,2016-02-16T08:31:20.575-08:00
62,2016-02-15,Birdly Insights,"Your own private investigator bot, on Slack",2016-02-15T05:48:51.537-08:00
64,2016-02-13,Marcobot,The first (or second) robot running for president,2016-02-13T00:57:00.000-08:00
67,2016-02-10, YellowAnt,Intelligent assistant bot for teams,2016-02-10T05:22:19.987-08:00
67,2016-02-10,Spray,"Local chat, made simple",2016-02-10T00:31:02.895-08:00
68,2016-02-09,Konsus,On-demand freelancers for business available 24/7 via chat.,2016-02-09T00:48:25.037-08:00
69,2016-02-08,Slack Message Builder,Preview the format of the messages produced by your bot,2016-02-08T00:23:35.672-08:00
70,2016-02-07,Snapchat Geofilters,Differentiate your event with a custom Snapchat Filter!,2016-02-07T01:27:01.843-08:00
72,2016-02-05,Flow XO Slackbot,Build bots with no code and your favorite web apps!,2016-02-05T00:29:36.000-08:00
73,2016-02-04,Chalk,Spontaneous group chat,2016-02-04T07:17:28.000-08:00
74,2016-02-03,SnapMemories,Timehop for Snapchat Stories,2016-02-03T02:43:02.067-08:00
74,2016-02-03,Seed,The smart bottle that never forgets about you,2016-02-03T02:00:00.000-08:00
75,2016-02-02,Workbot for Slack,Work your apps from Slack,2016-02-02T03:09:53.214-08:00
76,2016-02-01,Blastchat,A push notification themed mass messaging app ,2016-02-01T04:56:39.000-08:00
76,2016-02-01,Hooti.,Think it. Blog it. Destroy it. It's Twitter meets Snapchat.,2016-02-01T04:12:25.910-08:00
79,2016-01-29,Yarn for Slack,Drop TV and movie clips into your Slack chats,2016-01-29T04:36:19.417-08:00
80,2016-01-28,Booyah,A super fast video chat for WhatsApp friends and groups,2016-01-28T05:55:33.431-08:00
82,2016-01-26,Statsbot,Google Analytics bot for Slack,2016-01-26T00:31:00.000-08:00
85,2016-01-23,ChatFrog,Simple chat room for Reddit subreddits,2016-01-23T02:35:57.323-08:00
87,2016-01-21,Sparklist,"The smart new way to discover, sell and chat to buy nearby.",2016-01-21T07:13:50.321-08:00
87,2016-01-21,Erle-Spider,Anyone can now build and communicate with a complex robot. ,2016-01-21T08:01:49.214-08:00
88,2016-01-20,Beep Boop,Ridiculously simple hosting platform for Slack bots. ,2016-01-20T03:06:04.768-08:00
95,2016-01-13,Squad,Snapchat for groups of friends 🐙,2016-01-13T07:17:58.296-08:00
95,2016-01-13,BotFamily,Find the best and useful bots to level up your Telegram,2016-01-13T00:46:21.316-08:00
96,2016-01-12,Sendbird,The simplest chat & messaging solution for your app,2016-01-12T01:01:25.311-08:00
96,2016-01-12,Leo,The Slack bot to keep your team happy :),2016-01-12T01:10:26.061-08:00
96,2016-01-12,BotWatch,"Online publication, built for discussion around all bots",2016-01-12T02:42:59.489-08:00
96,2016-01-12,TweetChat,The best way to track hashtags and Twitterchat conversation ,2016-01-12T10:50:52.185-08:00
99,2016-01-09,Chat Bots Weekly,A weekly curation of everything important in chat bots,2016-01-09T02:27:49.726-08:00
100,2016-01-08,D3 Digest,A Slack bot that digests links based on their reactions,2016-01-08T01:31:04.321-08:00
101,2016-01-07,Humblebot,A Slack bot to help humans become a better person,2016-01-07T01:16:00.000-08:00
101,2016-01-07,Segway Robot,See. Recognize. Navigate,2016-01-07T02:43:24.881-08:00
102,2016-01-06,LinkedChat,"Use Facebook, Telegram and Slack to chat with your customers",2016-01-06T03:13:33.849-08:00
102,2016-01-06,Slack Metabot,"Whoa, a Slack command-line client inside Slack.",2016-01-06T00:39:00.000-08:00
106,2016-01-02,TwitchCast,Watch Twitch (chat included!) on your TV using Chromecast,2016-01-02T02:12:39.869-08:00
110,2015-12-29,DJ Khaled on Demand,Watch full DJ Khaled Snapchat stories whenever you want,2015-12-29T00:58:57.181-08:00
111,2015-12-28,CometChat,"Add audio, video & messenger chat to your website or app",2015-12-28T05:26:36.012-08:00
117,2015-12-22,Pinpon,The ping pong bot for Slack,2015-12-22T00:01:48.000-08:00
117,2015-12-22,BLINDSPOT,A fun app to chat anonymously with friends,2015-12-22T01:00:00.000-08:00
118,2015-12-21,Rich Preview,Preview how your website URL will appear in chat apps,2015-12-21T03:12:42.000-08:00
120,2015-12-19,Birdplane,Live video with two way chat,2015-12-19T00:53:00.000-08:00
121,2015-12-18,mojicam,Snapchat meets Slack,2015-12-18T04:01:44.272-08:00
122,2015-12-17,Chat by KeyReply,Simplest live chat widget on the planet,2015-12-17T01:53:57.398-08:00
122,2015-12-17,Nestor V2.0,The easiest way to customize bots for Slack,2015-12-17T09:56:55.426-08:00
122,2015-12-17,Stepes,On-demand chat based translation app,2015-12-17T07:28:54.952-08:00
123,2015-12-16,Botkit,Building blocks for building Slack bots,2015-12-16T01:25:33.209-08:00
123,2015-12-16,Bugbot,Use GitHub Issues in Slack,2015-12-16T00:02:30.333-08:00
123,2015-12-16,Stacktodo,"A collection of bots, apps & web services for Slack",2015-12-16T01:33:00.000-08:00
125,2015-12-14,Scanbot 5.0,Free mobile scanner app for documents and QR codes,2015-12-14T04:42:05.000-08:00
128,2015-12-11,WooBots by Bamloff,Transformable wooden robots,2015-12-11T06:45:53.080-08:00
128,2015-12-11,Appsonchat,"A slack bot to manage your todo, tasks and polls",2015-12-11T05:37:50.722-08:00
128,2015-12-11,@slashRemindMe,A Twitter bot to remember things or threads,2015-12-11T01:28:00.000-08:00
131,2015-12-08,ReadLaterBot,Save tweets for later with a handy twitter bot,2015-12-08T01:00:29.790-08:00
133,2015-12-06,Crisp,Live chat and live support for your product,2015-12-06T05:15:36.766-08:00
133,2015-12-06,Flake,Interactive stories through group chat with stickers.,2015-12-06T00:23:00.000-08:00
135,2015-12-04,Get Cartman,A slackbot to remind your teammates to give you feedback,2015-12-04T03:07:10.519-08:00
136,2015-12-03,Ulla,Smart drinking reminder that attaches to your bottle & glows,2015-12-03T00:12:10.544-08:00
137,2015-12-02,Microbot Push,A wireless robotic finger that makes dumb buttons smart,2015-12-02T01:30:00.000-08:00
137,2015-12-02,Peek,Find and follow the most interesting people on Snapchat ,2015-12-02T07:06:23.000-08:00
137,2015-12-02,Thermos Smartlid,Connected hydration bottle,2015-12-02T04:56:02.000-08:00
146,2015-11-23,Snapchat Story Explorer,Swipe up to see more Snaps of that same moment ,2015-11-23T11:32:03.971-08:00
146,2015-11-23,OnRad.io,"Share songs on Snapchat, Email, Text, etc for free.",2015-11-23T11:12:05.000-08:00
150,2015-11-19,Hasbro's Companion Pets,Lifelike robotic pets to bring comfort to the elderly,2015-11-19T09:00:00.000-08:00
153,2015-11-16,Yodel,"Videochat Messaging. It’s facetime, on your time.",2015-11-16T07:00:00.000-08:00
153,2015-11-16,Tiki,Burner for the Snapchat generation,2015-11-16T07:05:16.395-08:00
158,2015-11-11,Chatterbox for Periscope,Live polling and chat companion for Periscope,2015-11-11T01:00:00.000-08:00
162,2015-11-07,Uberbot,Test the coding skills of potential hires,2015-11-07T01:53:00.000-08:00
164,2015-11-05,Birdly Business Cards,A Slack bot that handles your business cards,2015-11-05T02:41:13.595-08:00
166,2015-11-03,Tingbot,Transform your Raspberry Pi into a platform for creativity,2015-11-03T01:51:16.000-08:00
167,2015-11-02,Starship,Self-driving robot for local delivery,2015-11-02T01:28:04.059-08:00
169,2015-10-31,Sochat,"GroupMe meets Snapchat via cell network, Wifi, or Bluetooth",2015-10-31T07:59:26.793-07:00
170,2015-10-30,Growbot for Slack,Celebrate team wins in Slack,2015-10-30T07:47:01.657-07:00
170,2015-10-30,Twitch Installs Arch Linux,Try to Install Arch Linux via Twitch Chat! or Sabbotage!,2015-10-30T12:52:53.825-07:00
171,2015-10-29,Sidecar by Gitter,Embed a public chat room into your website,2015-10-29T02:27:04.261-07:00
173,2015-10-27,Yellow,Find new friends on Snapchat,2015-10-27T00:34:30.523-07:00
173,2015-10-27,Slash TZ,Natural language time zone converter for Slack & Hipchat,2015-10-27T08:24:29.872-07:00
185,2015-10-15,Mast,Make & receive calls with both your personal & work number,2015-10-15T11:27:46.471-07:00
187,2015-10-13,Makerarm,"The first robotic arm that makes anything, anywhere",2015-10-13T02:41:58.000-07:00
191,2015-10-09,Snapchat Backpack,Snapchat's official ghost-shaped backpack,2015-10-09T03:36:00.000-07:00
191,2015-10-09,Slack Connect 4 Bot,A bot that allows you to play Connect 4 on slack!,2015-10-09T08:53:34.800-07:00
191,2015-10-09,Pongbot,Slack bot for ping pong tracking.,2015-10-09T00:35:33.779-07:00
195,2015-10-05,Slackbot Workout,A slackbot to get your team in shape,2015-10-05T07:09:49.838-07:00
199,2015-10-01,Tweetbot 4,"The Twitter app w/ personality, reimagined for iOS 9 & iPad",2015-10-01T09:19:47.015-07:00
199,2015-10-01,Rapchat 2.0,"Record, share, and discover freestyle raps",2015-10-01T00:17:40.141-07:00
200,2015-09-30,Snapchat Playing Cards,Snapchat's card game: SnapKings,2015-09-30T07:43:31.186-07:00
200,2015-09-30,Lasso,Group photo sharing with chat,2015-09-30T06:05:17.151-07:00
201,2015-09-29,Birdly for Slack,A Slack bot that does your expense reports,2015-09-29T00:47:51.964-07:00
207,2015-09-23,Pitchdeck,Snapchat meets Shark Tank,2015-09-23T06:07:26.447-07:00
207,2015-09-23,Slashcast,Broadcast Slack chats live to a web page,2015-09-23T04:00:00.000-07:00
213,2015-09-17,Roomba 980,A WiFi-connected robot vacuum by iRobot,2015-09-17T06:50:53.082-07:00
215,2015-09-15,SnapCodes,A curated list of the top Snapchatter's BooR Codes,2015-09-15T07:04:48.601-07:00
215,2015-09-15,Ponder,If Snapchat Stories and Tinder had a baby,2015-09-15T02:00:00.000-07:00
219,2015-09-11,Mirror,Everyone on camera. Tap to watch or video chat with anyone.,2015-09-11T05:59:43.356-07:00
221,2015-09-09,Love & Robots,Create your own 3D printed jewelry & accessories online,2015-09-09T06:23:51.176-07:00
221,2015-09-09,Kong,Group GIF chat,2015-09-09T09:17:48.000-07:00
222,2015-09-08,Dash & Dot,Robots designed to help kids learn how to code,2015-09-08T01:53:10.939-07:00
223,2015-09-07,Mocoro Robot Cleaning Ball,A fluffy robotic duster that cleans as it explores your home,2015-09-07T01:58:25.887-07:00
224,2015-09-06,Maskbot,Subscribe to any web service without exposing your email.,2015-09-06T01:46:09.151-07:00
227,2015-09-03,Azendoo Direct Messages,"A private chat, right into your team to-do-list",2015-09-03T00:32:50.374-07:00
228,2015-09-02,Slack Poker Bot,A bot that turns Slack into a Texas Hold'em client,2015-09-02T02:29:41.443-07:00
228,2015-09-02,Vantage Robotics Snap,Mind-blowing aerial video for everyone,2015-09-02T06:00:00.000-07:00
228,2015-09-02,Dropbot,iPhone repair and replacement in 1-click,2015-09-02T09:14:01.217-07:00
229,2015-09-01,Flow,Beautiful team chat with tightly integrated task management,2015-09-01T00:01:00.000-07:00
229,2015-09-01,Eatsa,The robot restaurant that serves Quinoa,2015-09-01T06:11:11.135-07:00
229,2015-09-01,"Microsoft Xiaoice - ""small Bing""",Microsoft's human-like AI-powered Chinese chatbot,2015-09-01T02:59:17.926-07:00
233,2015-08-28,Vurb 2.0,"Your apps & friends, all together. Now with group chat.",2015-08-28T02:00:00.000-07:00
239,2015-08-22,Emoji Packs,Import emoji packs into your Slack and other chat apps,2015-08-22T02:20:00.000-07:00
240,2015-08-21,Wondr,Start an anonymous chat session with your Twitter followers,2015-08-21T03:47:32.334-07:00
242,2015-08-19,Auro Robotics,Self driving shuttles for in-campus travel,2015-08-19T08:00:44.000-07:00
242,2015-08-19,Knock Knock,"Knock twice to connect, chat and swap contact info",2015-08-19T06:30:00.000-07:00
242,2015-08-19,Lunchbot,Order team lunch on-demand and hassle free from Slack,2015-08-19T06:46:24.670-07:00
242,2015-08-19,chatback,Automatically connect to people around you & chat,2015-08-19T11:32:43.355-07:00
243,2015-08-18,LeadChat,4x more conversions w/ our outsourced live chat sales ninjas,2015-08-18T03:42:15.404-07:00
243,2015-08-18,OnHive,Where chat and work come together,2015-08-18T07:11:21.650-07:00
244,2015-08-17,El Robot,"The best startup resources, in Slack",2015-08-17T03:12:21.934-07:00
244,2015-08-17,Chimpchat,An awesome way to ask your friends questions anonymously,2015-08-17T06:00:00.000-07:00
248,2015-08-13,Aurasel,Live video chat with extra powers,2015-08-13T00:03:00.177-07:00
249,2015-08-12,GetIceCream.xyz,A Slack bot that gets you ice cream,2015-08-12T05:40:58.000-07:00
254,2015-08-07,CARROT Weather for Mac,A smartass weather robot with a personality,2015-08-07T00:30:00.000-07:00
255,2015-08-06,Lucy,A smart robot that bends sunlight where you want it.,2015-08-06T08:46:19.096-07:00
255,2015-08-06,Genius Hub,A chat app designed for AMAs,2015-08-06T03:41:11.245-07:00
256,2015-08-05,Sphero SPRK Edition,"Learn code, robotics, and problem solving for kids",2015-08-05T00:06:00.000-07:00
257,2015-08-04,Large,On-demand Slack bot that can get you anything for the office,2015-08-04T06:51:08.609-07:00
257,2015-08-04,ringID,RingID is the new Snapchat with extra secret features,2015-08-04T08:53:45.000-07:00
259,2015-08-02,Landroid,Robotic grass mover (Roomba for your lawn),2015-08-02T08:28:32.937-07:00
262,2015-07-30,Chatra,Talk to your website visitors- live chat software done right,2015-07-30T03:05:22.734-07:00
263,2015-07-29,Official Snapchat Beach Towel,Disappears in 3 seconds.,2015-07-29T13:45:05.219-07:00
263,2015-07-29,Cachemonet,Robot-created GIF + music mashups,2015-07-29T01:09:00.000-07:00
269,2015-07-23,teaBOT,A robot that makes customized tea,2015-07-23T07:00:00.000-07:00
272,2015-07-20,Introbot,Connect people easily with simple emails intros,2015-07-20T06:25:16.541-07:00
272,2015-07-20,Enchat,"Mac app for Facebook chat, w/ notifications & file sharing",2015-07-20T03:00:00.000-07:00
274,2015-07-18,iCliniq on Telegram, telegram bot that will get answers from real doctors,2015-07-18T05:47:41.898-07:00
276,2015-07-16,HappyFox Chat,Free live chat software for websites,2015-07-16T01:34:10.000-07:00
276,2015-07-16,Inbot,"An intelligent sales assistant. ""Slack for sales""",2015-07-16T14:44:06.740-07:00
278,2015-07-14,Story Star,Discover and share the best content from Snapchat,2015-07-14T06:35:08.000-07:00
279,2015-07-13,Mr. Robot (TV show),A cyber-security engineer by day & vigilante by night,2015-07-13T13:44:01.173-07:00
279,2015-07-13,TimeLord for Slack,Timezone converter bot for Slack,2015-07-13T08:03:18.735-07:00
280,2015-07-12,Swift-Bar,Sticky share bar at the bottom of post,2015-07-12T10:45:00.000-07:00
280,2015-07-12,Make It Fast,Casual videochat WLYCP. For 140 seconds,2015-07-12T08:00:16.170-07:00
282,2015-07-10,Jewelbots,Friendship bracelets that teach girls to code,2015-07-10T06:00:00.000-07:00
283,2015-07-09,Sonar 2.0,2-way chat with your customers over SMS and FB Messenger,2015-07-09T05:00:00.000-07:00
285,2015-07-07,Text/Turner,Human translation bot for Slack,2015-07-07T03:36:43.256-07:00
289,2015-07-03,Statbot,One-click business & growth analytics for Intercom,2015-07-03T00:35:05.769-07:00
292,2015-06-30,Thankbot,Drive more business with handwritten notes,2015-06-30T05:34:42.404-07:00
292,2015-06-30,Scrumbot,A summary of all team data in Slack before your daily scrum,2015-06-30T06:00:00.000-07:00
292,2015-06-30,WP SlackSync,Synchronize Slack channels + chats with your Wordpress site,2015-06-30T03:18:13.600-07:00
297,2015-06-25,Atmospheir,"Fastest way to discover, connect and chat with your contacts",2015-06-25T05:33:46.749-07:00
298,2015-06-24,Pie for Android 1.0,Deliciously simple chat for work,2015-06-24T01:04:28.712-07:00
300,2015-06-22,Fax Robot,Quickly send faxes online (without a fax machine),2015-06-22T04:41:52.831-07:00
300,2015-06-22,Invi SMS Messenger,"Embed media, photos and games without leaving chat",2015-06-22T12:59:11.600-07:00
300,2015-06-22,Pepper Robot,"An emotionally aware, humanoid robot",2015-06-22T08:54:34.618-07:00
304,2015-06-18,Nearest5,Snapchat meets Yik Yak.,2015-06-18T04:25:54.231-07:00
304,2015-06-18,Tipbot,Tip others on Slack with bitcoin,2015-06-18T07:31:08.973-07:00
305,2015-06-17,HidrateMe,Smart water bottle with mobile app & reminders (pre-launch),2015-06-17T04:00:00.000-07:00
305,2015-06-17,CyPhy LVL 1 Drone,First consumer drone from iRobot cofounder Helen Greiner,2015-06-17T04:47:49.000-07:00
306,2015-06-16,Meekan for Slack,Your Slack team's scheduling robot assistant,2015-06-16T03:00:00.000-07:00
308,2015-06-14,Handwriting.io,"Real handwriting without the pen –  no robots, all software",2015-06-14T04:13:00.000-07:00
313,2015-06-09,T8X octopod,3D printed spider robot,2015-06-09T16:27:03.609-07:00
318,2015-06-04,Tweetbot for Mac 2.0,"Award-winning, native Twitter client for the Mac.",2015-06-04T09:33:57.342-07:00
318,2015-06-04,Klets,Get a custom private chat page for your business,2015-06-04T04:30:00.000-07:00
318,2015-06-04,Hello for Android,Instantly start chatting with people in your local area,2015-06-04T04:36:19.635-07:00
319,2015-06-03,Ninebot One,One wheeled electric scooter,2015-06-03T04:56:49.842-07:00
320,2015-06-02,Ghostface Chillah,The official Snapchat plushie,2015-06-02T04:19:00.000-07:00
322,2015-05-31,HangKeys,"Play Hangman via SMS, Messenger, Snapchat or any chat app.",2015-05-31T02:01:58.368-07:00
323,2015-05-30,Phonebot,Make phone calls from within a Slack channel,2015-05-30T02:25:40.695-07:00
325,2015-05-28,Rocket.Chat,Your own open source Slack-like chat,2015-05-28T08:07:31.236-07:00
327,2015-05-26,Wunderlist to Slack Integration,"Add to-dos as you chat, get notified of task progress",2015-05-26T11:41:18.506-07:00
327,2015-05-26,Mimechat,Bring your conversations to life with virtual avatars ,2015-05-26T07:15:07.660-07:00
331,2015-05-22,Watchbox,Snapchat for groups,2015-05-22T01:56:00.000-07:00
331,2015-05-22,Grillbots,Robots that clean your grill.,2015-05-22T16:27:06.907-07:00
333,2015-05-20,Diffbot,"Extract content from articles, products, videos and more",2015-05-20T01:12:54.261-07:00
333,2015-05-20,Vyu for iOS,Group video chat on Twitter,2015-05-20T04:00:00.000-07:00
334,2015-05-19,Brew Cutlery,Silverware + bottle opener = genius,2015-05-19T07:49:35.000-07:00
335,2015-05-18,Detective Game,Who is the robot and who is the human?,2015-05-18T09:49:45.163-07:00
336,2015-05-17,Heychat,Create a storyboard of your life,2015-05-17T21:56:19.000-07:00
338,2015-05-15,SURV,Easily book bottle service at exclusive nightclubs & lounges,2015-05-15T05:00:00.000-07:00
341,2015-05-12,Madhat,Snapchat meets Twitter.,2015-05-12T00:30:00.000-07:00
341,2015-05-12,Bleep,BitTorrent's encrypted P2P chat app,2015-05-12T11:44:54.033-07:00
345,2015-05-08,ecobud,A portable water filter and bottle,2015-05-08T08:02:55.125-07:00
347,2015-05-06,Octobot,Your friendly GitHub status app.,2015-05-06T09:19:00.000-07:00
349,2015-05-04,Snapchat Snapcodes,"Snapchat's QR codes, now customizable",2015-05-04T11:54:00.000-07:00
353,2015-04-30,Epoque,Retro game-inspired location chat,2015-04-30T03:25:00.000-07:00
354,2015-04-29,Walk and Talk,Like chatroulette when you take a walk. Walk with extra fun.,2015-04-29T04:00:00.000-07:00
355,2015-04-28,Jaconda,A smartbot for Telegram. Add 100+ services to your group,2015-04-28T04:36:09.707-07:00
359,2015-04-24,Calcbot for Apple Watch,"Calculate, convert, and split tips from your wrist",2015-04-24T03:13:27.419-07:00
361,2015-04-22,Hello for iOS,Instantly start chatting with people in your local area,2015-04-22T01:36:50.000-07:00
